Date,Event_Name,Category,Description,Expected_Impact,Data_Source
1990-08-02,Iraq_Kuwait_Invasion,Conflict,Iraq invades Kuwait,Price_Spike,Historical_Records
1997-07-02,Asian_Financial_Crisis,Economic,Thailand currency crisis,Demand_Shock,IMF_Data
2001-09-11,September_11_Attacks,Geopolitical,Terror attacks in US,Volatility_Spike,BBC_Archive
2003-03-20,Iraq_War_Begins,Conflict,US invasion of Iraq,Supply_Risk,US_Government
2008-09-15,Lehman_Brothers_Collapse,Economic,Global financial crisis,Demand_Crash,Federal_Reserve
2010-12-17,Arab_Spring_Begins,Geopolitical,Middle East protests,Supply_Risk,News_Archives
2011-02-24,Libya_Civil_War,Conflict,Libya production collapse,Price_Spike,OPEC_Reports
2014-11-27,OPEC_No_Cut_Decision,Policy,OPEC abandons price defense,Structural_Break,OPEC_Press_Release
2016-09-28,OPEC_Production_Cut_Deal,Policy,First cut in 8 years,Price_Recovery,OPEC_Statement
2019-09-14,Saudi_Aramco_Attack,Conflict,Drone attack on facilities,Supply_Spike,Saudi_Energy_Ministry
2020-03-11,COVID_Pandemic_Declared,Economic,WHO pandemic declaration,Demand_Crash,WHO_Statements
2020-04-12,OPEC_Plus_Historic_Cut,Policy,Historic 9.7mbd cut,Partial_Recovery,OPEC_Joint_Ministerial
2022-02-24,Russia_Ukraine_Invasion,Conflict,Full-scale invasion,Price_Spike,Multiple_Sources
2022-06-01,EU_Russian_Oil_Ban,Policy,EU bans Russian oil,Sustained_Premium,EU_Official_Journal
